id,order_id,payment_method,amount,cycle_name
1,1,credit_card,1000,Mountain Pro
2,2,credit_card,2000,Road Master
3,3,coupon,100,City Cruiser
4,4,coupon,2500,Hybrid Elite
5,5,bank_transfer,1700,BMX Pro
6,6,credit_card,600,Electric Rider
7,7,credit_card,1600,Trail Blazer
8,8,credit_card,2300,Urban Commuter
9,9,gift_card,2300,Racing Pro
10,9,bank_transfer,0,Racing Pro
11,10,bank_transfer,2600,City Explorer
12,11,credit_card,2700,Mountain Elite
13,12,credit_card,100,Road Warrior
14,13,credit_card,500,Hybrid Sport
15,13,bank_transfer,1400,Hybrid Sport
16,14,bank_transfer,300,BMX Master
17,15,coupon,2200,Electric Pro
18,16,credit_card,1000,Trail Master
19,17,bank_transfer,200,Urban Pro
20,18,credit_card,500,Racing Elite
21,18,credit_card,800,Racing Elite
22,19,gift_card,600,City Pro
23,20,bank_transfer,1500,Mountain Sport
24,21,credit_card,1200,Road Elite
25,22,bank_transfer,800,Hybrid Pro
26,23,gift_card,2300,BMX Sport
27,24,coupon,2600,Electric Elite
28,25,bank_transfer,2000,Trail Pro
29,25,credit_card,2200,Trail Pro
30,25,coupon,1600,Trail Pro
31,26,credit_card,3000,Urban Elite
32,27,credit_card,2300,Racing Sport
33,28,bank_transfer,1900,City Elite
34,29,bank_transfer,1200,Mountain Pro
35,30,credit_card,1300,Road Sport
36,31,credit_card,1200,Hybrid Elite
37,32,credit_card,300,BMX Pro
38,33,credit_card,2200,Electric Sport
39,34,bank_transfer,1500,Trail Elite
40,35,credit_card,2900,Urban Sport
41,36,bank_transfer,900,Racing Pro
42,37,credit_card,2300,City Sport
43,38,credit_card,1500,Mountain Elite
44,39,bank_transfer,800,Road Pro
45,40,credit_card,1400,Hybrid Sport
46,41,credit_card,1700,BMX Elite
47,42,coupon,1700,Electric Pro
48,43,gift_card,1800,Trail Sport
49,44,gift_card,1100,Urban Pro
50,45,bank_transfer,500,Racing Elite
51,46,bank_transfer,800,City Pro
52,47,credit_card,2200,Mountain Sport
53,48,bank_transfer,300,Road Elite
54,49,credit_card,600,Hybrid Pro
55,49,credit_card,900,Hybrid Pro
56,50,credit_card,2600,BMX Sport
57,51,credit_card,2900,Electric Elite
58,51,credit_card,100,Electric Elite
59,52,bank_transfer,1500,Trail Pro
60,53,credit_card,300,Urban Elite
61,54,credit_card,1800,Racing Sport
62,54,bank_transfer,1100,Racing Sport
63,55,credit_card,2900,City Elite
64,56,credit_card,400,Mountain Pro
65,57,bank_transfer,200,Road Sport
66,58,coupon,1800,Hybrid Elite
67,58,gift_card,600,Hybrid Elite
68,59,gift_card,2800,BMX Pro
69,60,credit_card,400,Electric Sport
70,61,bank_transfer,1600,Trail Elite
71,62,gift_card,1400,Urban Sport
72,63,credit_card,2900,Racing Pro
73,64,bank_transfer,2600,City Sport
74,65,credit_card,0,Mountain Elite
75,66,credit_card,2800,Road Pro
76,67,bank_transfer,400,Hybrid Sport
77,67,credit_card,1900,Hybrid Sport
78,68,credit_card,1600,BMX Elite
79,69,credit_card,1900,Electric Pro
80,70,credit_card,2600,Trail Sport
81,71,credit_card,500,Urban Pro
82,72,credit_card,2900,Racing Elite
83,73,bank_transfer,300,City Pro
84,74,credit_card,3000,Mountain Sport
85,75,credit_card,1900,Road Elite
86,76,coupon,200,Hybrid Pro
87,77,credit_card,0,BMX Sport
88,77,bank_transfer,1900,BMX Sport
89,78,bank_transfer,2600,Electric Elite
90,79,credit_card,1800,Trail Pro
91,79,credit_card,900,Trail Pro
92,80,gift_card,300,Urban Elite
93,81,coupon,200,Racing Sport
94,82,credit_card,800,City Elite
95,83,credit_card,100,Mountain Pro
96,84,bank_transfer,2500,Road Sport
97,85,bank_transfer,1700,Hybrid Elite
98,86,coupon,2300,BMX Pro
99,87,gift_card,3000,Electric Sport
100,87,credit_card,2600,Electric Sport
101,88,credit_card,2900,Trail Elite
102,89,bank_transfer,2200,Urban Sport
103,90,bank_transfer,200,Racing Pro
104,91,credit_card,1900,City Sport
105,92,bank_transfer,1500,Mountain Elite
106,92,coupon,200,Mountain Elite
107,93,gift_card,2600,Road Pro
108,94,coupon,700,Hybrid Sport
109,95,coupon,2400,BMX Elite
110,96,gift_card,1700,Electric Pro
111,97,bank_transfer,1400,Trail Sport
112,98,bank_transfer,1000,Urban Pro
113,99,credit_card,2400,Racing Elite
